GTDB	MICROBE	MICR_NT_PLUS_COMPL_EUK	INVERTEBRATE	PLANT	VERTEBRATE_OTHER	VERTEBRATE_MAMMALIAN	NT	COMBINED
@endo_320:-:8409:8462:53e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_668:-:2717:2759:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_989:-:7118:7154:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_780:-:9195:9240:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_692:+:7755:7822:67e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_33:+:2056:2096:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_852:-:2649:2688:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_471:+:2986:3018:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_222:+:1036:1081:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_400:-:6065:6101:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_571:-:5048:5093:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_997:-:3275:3321:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_591:+:103:176:73e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_459:-:3859:3894:35e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_83:-:3170:3215:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_12:+:4250:4289:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_792:-:7453:7507:54e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_588:+:2551:2599:48e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_68:-:7952:7986:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_767:+:4817:4869:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_133:-:7296:7348:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_553:+:2840:2893:53e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_363:+:9894:9934:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_267:+:1971:2013:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_580:+:2710:2760:50e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_269:-:3994:4024:30e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_468:+:8293:8328:35e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_903:-:7056:7094:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_722:-:8070:8108:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_813:+:7108:7155:47e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_815:-:2277:2320:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_397:-:5313:5353:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_842:-:8233:8275:42e1_0-2/1	0	0	0	0	0	0	0	0	0
